,promotion,promotion name,Byron Buxton,Date,NumberofGames,DayofWeek,VisitingTeam,VisitingTeamLeague,VisitingTeamGameNumber,HomeTeam,HomeTeamLeague,HomeTeamGameNumber,VistingTeamScore,HomeTeamScore,NumberofOuts,DayNight,Completition_Information,Forfeit_Information,Byron Buxton,BallParkID,Attendance,LengthofGame,VisitingTeam_LineScore,HomeTeam_LineScore,VisitingTeamOffense_AtBats,VisitingTeamOffense_Hits,VisitingTeamOffense_Doubles,VisitingTeamOffense_Triples,VisitingTeamOffense_Homeruns,VisitingTeamOffense_RBIs,VisitingTeamOffense_SacrificeHits,VisitingTeamOffense_SacrificeFlies,VisitingTeamOffense_HitbyPitch,VisitingTeamOffense_Walks,VisitingTeamOffense_IntentionalWalks,VisitingTeamOffense_Strickouts,VisitingTeamOffense_StolenBases,VisitingTeamOffense_CaughtStealing,VisitingTeamOffense_GroundedintoDoublePlay,VisitingTeamOffense_AwardedFirstonCatcherInterference,VisitingTeamOffense_LeftOnBase,VisitingTeamPitchers_PitchersUsed,VisitingTeamPitchers_IndividualEarnedRuns,VisitingTeamPitchers_TeamEarnedRuns,VisitingTeamPitchers_WildPitches,VisitingTeamPitchers_Balks,VisitingTeamDefense_PutOuts,VisitingTeamDefense_Assists,VisitingTeamDefense_Errors,VisitingTeamDefense_PassedBalls,VisitingTeamDefense_DoublePlays,VisitingTeamDefense_TriplePlays,HomeTeamOffense_AtBats,HomeTeamOffense_Hits,HomeTeamOffense_Doubles,HomeTeamOffense_Triples,HomeTeamOffense_Homeruns,HomeTeamOffense_RBIs,HomeTeamOffense_SacrificeHits,HomeTeamOffense_SacrificeFlies,HomeTeamOffense_HitbyPitch,HomeTeamOffense_Walks,HomeTeamOffense_IntentionalWalks,HomeTeamOffense_Strickouts,HomeTeamOffense_StolenBases,HomeTeamOffense_CaughtStealing,HomeTeamOffense_GroundedintoDoublePlay,HomeTeamOffense_AwardedFirstonCatcherInterference,HomeTeamOffense_LeftOnBase,HomeTeamPitchers_PitchersUsed,HomeTeamPitchers_IndividualEarnedRuns,HomeTeamPitchers_TeamEarnedRuns,HomeTeamPitchers_WildPitches,HomeTeamPitchers_Balks,HomeTeamDefense_PutOuts,HomeTeamDefense_Assists,HomeTeamDefense_Errors,HomeTeamDefense_PassedBalls,HomeTeamDefense_DoublePlays,HomeTeamDefense_TriplePlays,HomePlateUmp_ID,HomePlateUmp_Name,1BUmp_ID,1BUmp_Name,2BUmp_ID,2BUmp_Name,3BUmp_ID,3BUmp_Name,LFUmp_ID,LFUmp_Name,RFUmp_ID,RFUmp_Name,VisitingTeamManager_ID,VisitingTeamManager_Name,HomeTeamManager_ID,HomeTeamManager_Name,WinningPitcher_ID,WinningPitcher_Name,LosingPitcher_ID,LosingPitcher_Name,SavingPitcher_ID,SavingPitcher_Name,GameWinningRBIBatter_ID,GameWinningRBIBatter_Name,VisitingTeam_StartingPitcher_ID,VisitingTeam_StartingPitcher_Name,HomeTeam_StartingPitcher_ID,HomeTeam_StartingPitcher_Name,VisitingTeam_Player1_ID,VisitingTeam_Player1_Name,VisitingTeam_Player1_Position,VisitingTeam_Player2_ID,VisitingTeam_Player2_Name,VisitingTeam_Player2_Position,VisitingTeam_Player3_ID,VisitingTeam_Player3_Name,VisitingTeam_Player3_Position,VisitingTeam_Player4_ID,VisitingTeam_Player4_Name,VisitingTeam_Player4_Position,VisitingTeam_Player5_ID,VisitingTeam_Player5_Name,VisitingTeam_Player5_Position,VisitingTeam_Player6_ID,VisitingTeam_Player6_Name,VisitingTeam_Player6_Position,VisitingTeam_Player7_ID,VisitingTeam_Player7_Name,VisitingTeam_Player7_Position,VisitingTeam_Player8_ID,VisitingTeam_Player8_Name,VisitingTeam_Player8_Position,VisitingTeam_Player9_ID,VisitingTeam_Player9_Name,VisitingTeam_Player9_Position,HomeTeam_Player1_ID,HomeTeam_Player1_Name,HomeTeam_Player1_Position,HomeTeam_Player2_ID,HomeTeam_Player2_Name,HomeTeam_Player2_Position,HomeTeam_Player3_ID,HomeTeam_Player3_Name,HomeTeam_Player3_Position,HomeTeam_Player4_ID,HomeTeam_Player4_Name,HomeTeam_Player4_Position,HomeTeam_Player5_ID,HomeTeam_Player5_Name,HomeTeam_Player5_Position,HomeTeam_Player6_ID,HomeTeam_Player6_Name,HomeTeam_Player6_Position,HomeTeam_Player7_ID,HomeTeam_Player7_Name,HomeTeam_Player7_Position,HomeTeam_Player8_ID,HomeTeam_Player8_Name,HomeTeam_Player8_Position,HomeTeam_Player9_ID,HomeTeam_Player9_Name,HomeTeam_Player9_Position,Additional_Information,Acquisition_Information,DOW,Rank,VisitingLeague,DN,NFLVKGDAY
51930,1,"Opening weekend jacket for first 10,000 fans",1,20220408,0,Fri,SEA,AL,1,MIN,AL,1,2,1,54,D,,,1,MIN04,35462,173,200000000,100000,31,5,0,0,1,2,0,0,1,7,0,11,0,0,1,0,10,3,1,1,0,0,27,9,0,0,2,0,29,4,0,0,1,1,0,0,1,4,0,6,0,0,2,0,6,4,2,2,1,0,27,7,0,0,1,0,kulpr901,Ron Kulpa,fostm901,Marty Foster,conrc901,Chris Conroy,torrc901,Carlos Torres,,(none),,(none),servs002,Scott Servais,baldr001,Rocco Baldelli,ray-r002,Robbie Ray,ryanj002,Joe Ryan,stecd001,Drew Steckenrider,hanim001,Mitch Haniger,ray-r002,Robbie Ray,ryanj002,Joe Ryan,fraza001,Adam Frazier,4,frant002,Ty France,3,winkj002,Jesse Winker,7,hanim001,Mitch Haniger,9,suare001,Eugenio Suarez,5,kelej001,Jarred Kelenic,10,rodrj007,Julio Rodriguez,8,crawj002,J.P. Crawford,6,ralec001,Cal Raleigh,2,buxtb001,Byron Buxton,8,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,urshg001,Giovanny Urshela,5,sanom001,Miguel Sano,3,kiria001,Alex Kirilloff,7,sancg002,Gary Sanchez,10,jeffr002,Ryan Jeffers,2,keplm001,Max Kepler,9,,Y,5,16,0,0,0
51945,1,"Opening weekend jacket for first 10,000 fans",1,20220409,0,Sat,SEA,AL,2,MIN,AL,2,4,3,54,D,,,1,MIN04,20867,189,1010002,100000020,35,9,3,0,1,4,0,0,0,4,0,7,1,0,1,0,8,5,3,3,0,0,27,4,0,0,0,0,31,4,0,0,2,3,0,0,1,2,0,14,0,0,0,0,4,5,4,4,0,0,27,8,1,0,1,0,fostm901,Marty Foster,conrc901,Chris Conroy,torrc901,Carlos Torres,kulpr901,Ron Kulpa,,(none),,(none),servs002,Scott Servais,baldr001,Rocco Baldelli,munoa002,Andres Munoz,dufft001,Tyler Duffey,castd002,Diego Castillo,frant002,Ty France,gilbl002,Logan Gilbert,grays001,Sonny Gray,fraza001,Adam Frazier,4,frant002,Ty France,3,winkj002,Jesse Winker,10,hanim001,Mitch Haniger,9,toroa001,Abraham Toro,5,kelej001,Jarred Kelenic,7,rodrj007,Julio Rodriguez,8,crawj002,J.P. Crawford,6,murpt002,Tom Murphy,2,buxtb001,Byron Buxton,8,arral001,Luis Arraez,5,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,kiria001,Alex Kirilloff,10,sanom001,Miguel Sano,3,keplm001,Max Kepler,9,jeffr002,Ryan Jeffers,2,gordn001,Nick Gordon,7,,Y,6,16,0,0,0
51960,1,"Opening weekend jacket for first 10,000 fans",1,20220410,0,Sun,SEA,AL,3,MIN,AL,3,4,10,51,D,,,1,MIN04,17018,191,4000000,51110110x,33,7,2,0,1,4,0,0,0,4,0,8,0,0,0,0,6,5,6,6,1,0,24,6,1,0,0,0,35,10,1,0,6,10,0,0,0,3,0,9,0,0,0,0,4,5,4,4,0,0,27,8,0,0,0,0,conrc901,Chris Conroy,torrc901,Carlos Torres,kulpr901,Ron Kulpa,fostm901,Marty Foster,,(none),,(none),servs002,Scott Servais,baldr001,Rocco Baldelli,oberb002,Bailey Ober,gonzm005,Marco Gonzales,,(none),buxtb001,Byron Buxton,gonzm005,Marco Gonzales,oberb002,Bailey Ober,fraza001,Adam Frazier,4,frant002,Ty France,3,winkj002,Jesse Winker,7,hanim001,Mitch Haniger,10,kelej001,Jarred Kelenic,9,suare001,Eugenio Suarez,5,rodrj007,Julio Rodriguez,8,crawj002,J.P. Crawford,6,torrl001,Luis Torrens,2,buxtb001,Byron Buxton,8,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,urshg001,Giovanny Urshela,5,sanom001,Miguel Sano,3,kiria001,Alex Kirilloff,7,sancg002,Gary Sanchez,2,jeffr002,Ryan Jeffers,10,keplm001,Max Kepler,9,,Y,7,16,0,0,0
51971,1,"Magnet schedule for the first 10,000 fans",1,20220411,0,Mon,SEA,AL,4,MIN,AL,4,0,4,51,N,,,1,MIN04,12932,180,0,10003000x,31,2,1,0,0,0,0,0,0,3,0,5,1,0,0,0,7,5,4,4,0,0,24,7,1,0,1,0,32,10,3,0,0,4,0,0,0,3,0,8,1,0,1,1,8,5,0,0,0,0,27,10,3,0,0,0,torrc901,Carlos Torres,kulpr901,Ron Kulpa,fostm901,Marty Foster,conrc901,Chris Conroy,,(none),,(none),servs002,Scott Servais,baldr001,Rocco Baldelli,bundd001,Dylan Bundy,flexc001,Chris Flexen,,(none),polaj001,Jorge Polanco,flexc001,Chris Flexen,bundd001,Dylan Bundy,fraza001,Adam Frazier,10,frant002,Ty France,3,winkj002,Jesse Winker,7,hanim001,Mitch Haniger,9,toroa001,Abraham Toro,4,suare001,Eugenio Suarez,5,crawj002,J.P. Crawford,6,rodrj007,Julio Rodriguez,8,ralec001,Cal Raleigh,2,buxtb001,Byron Buxton,8,corrc001,Carlos Correa,6,arral001,Luis Arraez,5,polaj001,Jorge Polanco,4,urshg001,Giovanny Urshela,10,keplm001,Max Kepler,9,sancg002,Gary Sanchez,2,sanom001,Miguel Sano,3,kiria001,Alex Kirilloff,7,,Y,1,16,0,1,0
51986,0,,1,20220412,0,Tue,LAN,NL,4,MIN,AL,5,7,2,54,N,,,1,MIN04,16732,240,10060,10010,35,9,3,1,0,7,0,1,0,9,0,10,3,0,0,0,11,6,1,1,0,0,27,11,1,0,0,0,33,5,3,0,0,1,0,0,1,3,0,9,0,0,0,0,8,8,7,7,1,0,27,6,0,0,0,0,mealj901,Jerry Meals,hicke901,Ed Hickox,viscj901,Jansen Visconti,willr901,Ryan Wills,,(none),,(none),robed001,Dave Roberts,baldr001,Rocco Baldelli,hudsd001,Daniel Hudson,pagae001,Emilio Pagan,,(none),turnt001,Trea Turner,heana001,Andrew Heaney,archc001,Chris Archer,bettm001,Mookie Betts,9,freef001,Freddie Freeman,3,turnt001,Trea Turner,6,muncm001,Max Muncy,5,turnj001,Justin Turner,10,smitw003,Will Smith,2,bellc002,Cody Bellinger,8,taylc001,Chris Taylor,7,lux-g001,Gavin Lux,4,buxtb001,Byron Buxton,8,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,urshg001,Giovanny Urshela,5,sancg002,Gary Sanchez,10,keplm001,Max Kepler,9,jeffr002,Ryan Jeffers,2,sanom001,Miguel Sano,3,celeg001,Gilberto Celestino,7,,Y,2,2,1,1,0
51999,0,,1,20220413,0,Wed,LAN,NL,5,MIN,AL,6,7,0,54,D,,,1,MIN04,17101,154,210000031,0,38,11,3,0,4,7,0,1,1,4,0,7,1,0,0,0,10,3,0,0,0,0,27,3,0,0,0,0,28,1,0,0,0,0,0,0,0,1,0,14,0,0,0,0,2,3,7,7,0,0,27,9,2,0,0,0,hicke901,Ed Hickox,viscj901,Jansen Visconti,willr901,Ryan Wills,mealj901,Jerry Meals,,(none),,(none),robed001,Dave Roberts,baldr001,Rocco Baldelli,kersc001,Clayton Kershaw,paddc001,Chris Paddack,,(none),turnj001,Justin Turner,kersc001,Clayton Kershaw,paddc001,Chris Paddack,bettm001,Mookie Betts,9,freef001,Freddie Freeman,3,turnt001,Trea Turner,6,muncm001,Max Muncy,10,turnj001,Justin Turner,5,taylc001,Chris Taylor,7,bellc002,Cody Bellinger,8,lux-g001,Gavin Lux,4,barna001,Austin Barnes,2,buxtb001,Byron Buxton,10,arral001,Luis Arraez,4,urshg001,Giovanny Urshela,5,polaj001,Jorge Polanco,6,sancg002,Gary Sanchez,2,keplm001,Max Kepler,9,sanom001,Miguel Sano,3,celeg001,Gilberto Celestino,8,gordn001,Nick Gordon,7,,Y,3,2,1,0,0
52116,0,,0,20220422,0,Fri,CHA,AL,13,MIN,AL,14,1,2,51,N,,,0,MIN04,14257,184,10000,00000002x,33,6,2,0,1,1,0,0,0,3,0,11,0,0,0,0,8,4,1,1,1,0,24,7,2,0,1,0,27,5,2,0,0,1,0,0,0,3,0,9,0,1,1,0,4,4,1,1,1,0,27,7,0,0,0,0,welkb901,Bill Welke,morag901,Gabe Morales,segac901,Chris Segal,fleta901,Andy Fletcher,,(none),,(none),larut101,Tony LaRussa,baldr001,Rocco Baldelli,dufft001,Tyler Duffey,gravk001,Kendall Graveman,pagae001,Emilio Pagan,,(none),kopem001,Michael Kopech,oberb002,Bailey Ober,andet001,Tim Anderson,6,garcl004,Leury Garcia,4,abrej003,Jose Abreu,3,jimee001,Eloy Jimenez,10,sheeg001,Gavin Sheets,9,polla001,A.J. Pollock,8,vauga001,Andrew Vaughn,7,mcgur002,Reese McGuire,2,burgj001,Jake Burger,5,arral001,Luis Arraez,3,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,urshg001,Giovanny Urshela,5,larnt001,Trevor Larnach,7,sanom001,Miguel Sano,10,gordn001,Nick Gordon,8,jeffr002,Ryan Jeffers,2,,Y,5,15,0,1,0
52132,0,,1,20220423,0,Sat,CHA,AL,14,MIN,AL,15,2,9,51,D,,,1,MIN04,16686,212,1010,12041010x,34,7,2,0,1,2,0,0,0,2,0,11,0,0,0,0,7,5,9,9,1,0,24,5,1,0,0,0,38,14,2,0,2,9,0,0,1,4,0,11,0,0,0,0,10,4,2,2,0,0,27,7,0,0,0,0,morag901,Gabe Morales,segac901,Chris Segal,fleta901,Andy Fletcher,welkb901,Bill Welke,,(none),,(none),larut101,Tony LaRussa,baldr001,Rocco Baldelli,bundd001,Dylan Bundy,velav001,Vincent Velasquez,,(none),polaj001,Jorge Polanco,velav001,Vincent Velasquez,bundd001,Dylan Bundy,andet001,Tim Anderson,6,vauga001,Andrew Vaughn,9,abrej003,Jose Abreu,3,grany001,Yasmani Grandal,10,jimee001,Eloy Jimenez,7,engea001,Adam Engel,8,garcl004,Leury Garcia,4,mcgur002,Reese McGuire,2,burgj001,Jake Burger,5,buxtb001,Byron Buxton,8,arral001,Luis Arraez,5,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,larnt001,Trevor Larnach,10,sanom001,Miguel Sano,3,jeffr002,Ryan Jeffers,2,gordn001,Nick Gordon,7,,Y,6,15,0,0,0
52147,1,"Bomber cap for the first 10,000 fans",1,20220424,0,Sun,CHA,AL,15,MIN,AL,16,4,6,58,D,,,1,MIN04,16197,230,1010001001,10002003,37,9,0,0,2,4,0,0,0,3,0,7,1,0,2,0,7,6,5,5,1,0,28,4,1,0,0,0,36,9,0,0,2,6,0,1,0,9,0,14,0,0,0,0,13,4,3,3,1,0,30,15,1,0,2,0,segac901,Chris Segal,fleta901,Andy Fletcher,welkb901,Bill Welke,morag901,Gabe Morales,,(none),,(none),larut101,Tony LaRussa,baldr001,Rocco Baldelli,smitj002,Joe Smith,hendl001,Liam Hendriks,,(none),buxtb001,Byron Buxton,gioll001,Lucas Giolito,archc001,Chris Archer,andet001,Tim Anderson,6,polla001,A.J. Pollock,9,grany001,Yasmani Grandal,2,abrej003,Jose Abreu,10,sheeg001,Gavin Sheets,3,vauga001,Andrew Vaughn,7,garcl004,Leury Garcia,4,hasea001,Adam Haseley,8,mendd002,Danny Mendick,5,buxtb001,Byron Buxton,8,arral001,Luis Arraez,10,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,urshg001,Giovanny Urshela,5,larnt001,Trevor Larnach,7,gordn001,Nick Gordon,6,sanom001,Miguel Sano,3,godoj001,Jose Godoy,2,,Y,7,15,0,0,0
52169,0,,1,20220426,0,Tue,DET,AL,16,MIN,AL,17,4,5,52,N,,,1,MIN04,11803,185,1030,10200002,33,8,2,0,1,4,0,0,0,4,0,10,0,0,2,0,6,4,3,3,1,0,25,7,1,0,1,0,29,5,1,0,1,3,0,0,0,5,0,10,0,0,1,0,4,5,4,4,0,0,27,11,0,0,2,0,tumpj901,John Tumpane,blakr901,Ryan Blakney,hudsm901,Marvin Hudson,johna901,Adrian Johnson,,(none),,(none),hinca001,A.J. Hinch,baldr001,Rocco Baldelli,jax-g001,Griffin Jax,sotog003,Gregory Soto,,(none),,(none),rodre004,Eduardo Rodriguez,paddc001,Chris Paddack,grosr001,Robbie Grossman,9,meada001,Austin Meadows,7,baezj001,Javier Baez,6,cabrm001,Miguel Cabrera,10,torks001,Spencer Torkelson,3,candj002,Jeimer Candelario,5,schoj001,Jonathan Schoop,4,barnt001,Tucker Barnhart,2,hilld002,Derek Hill,8,buxtb001,Byron Buxton,10,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,garlk001,Kyle Garlick,7,urshg001,Giovanny Urshela,5,keplm001,Max Kepler,9,sanom001,Miguel Sano,3,jeffr002,Ryan Jeffers,2,celeg001,Gilberto Celestino,8,,Y,2,18,0,1,0
52184,0,,1,20220427,0,Wed,DET,AL,17,MIN,AL,18,0,5,51,N,,,1,MIN04,11829,143,0,01012010x,29,2,1,0,0,0,0,0,0,1,0,10,0,0,0,0,3,4,5,5,0,0,24,14,0,0,1,0,31,9,3,0,3,5,0,0,0,3,0,3,0,1,1,0,5,3,0,0,0,0,27,7,0,0,0,0,blakr901,Ryan Blakney,hudsm901,Marvin Hudson,johna901,Adrian Johnson,tumpj901,John Tumpane,,(none),,(none),hinca001,A.J. Hinch,baldr001,Rocco Baldelli,ryanj002,Joe Ryan,pinem001,Michael Pineda,,(none),keplm001,Max Kepler,pinem001,Michael Pineda,ryanj002,Joe Ryan,grosr001,Robbie Grossman,9,meada001,Austin Meadows,7,baezj001,Javier Baez,6,cabrm001,Miguel Cabrera,10,torks001,Spencer Torkelson,3,candj002,Jeimer Candelario,5,schoj001,Jonathan Schoop,4,haase001,Eric Haase,2,badda001,Akil Baddoo,8,buxtb001,Byron Buxton,8,arral001,Luis Arraez,3,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,urshg001,Giovanny Urshela,5,larnt001,Trevor Larnach,10,jeffr002,Ryan Jeffers,2,gordn001,Nick Gordon,7,,Y,3,18,0,1,0
52197,0,,0,20220428,0,Thu,DET,AL,18,MIN,AL,19,1,7,51,D,,,0,MIN04,19365,189,100000,02004100x,36,11,0,0,0,1,0,0,1,3,0,6,0,0,1,0,12,4,6,6,0,0,24,8,3,0,1,0,35,12,2,0,0,6,1,0,0,3,0,8,0,0,1,0,8,4,1,1,0,1,27,6,0,0,2,0,hudsm901,Marvin Hudson,johna901,Adrian Johnson,tumpj901,John Tumpane,blakr901,Ryan Blakney,,(none),,(none),hinca001,A.J. Hinch,baldr001,Rocco Baldelli,stasc001,Cody Stashak,skubt001,Tarik Skubal,jax-g001,Griffin Jax,larnt001,Trevor Larnach,skubt001,Tarik Skubal,oberb002,Bailey Ober,hilld002,Derek Hill,8,meada001,Austin Meadows,9,grosr001,Robbie Grossman,10,baezj001,Javier Baez,6,torks001,Spencer Torkelson,3,casth001,Harold Castro,5,schoj001,Jonathan Schoop,4,barnt001,Tucker Barnhart,2,castw003,Willi Castro,7,polaj001,Jorge Polanco,4,corrc001,Carlos Correa,6,arral001,Luis Arraez,3,urshg001,Giovanny Urshela,5,garlk001,Kyle Garlick,7,keplm001,Max Kepler,9,jeffr002,Ryan Jeffers,2,larnt001,Trevor Larnach,10,celeg001,Gilberto Celestino,8,,Y,4,18,0,0,0
