,promotion,promotion name,Byron Buxton,Date,NumberofGames,DayofWeek,VisitingTeam,VisitingTeamLeague,VisitingTeamGameNumber,HomeTeam,HomeTeamLeague,HomeTeamGameNumber,VistingTeamScore,HomeTeamScore,NumberofOuts,DayNight,Completition_Information,Forfeit_Information,Byron Buxton,BallParkID,Attendance,LengthofGame,VisitingTeam_LineScore,HomeTeam_LineScore,VisitingTeamOffense_AtBats,VisitingTeamOffense_Hits,VisitingTeamOffense_Doubles,VisitingTeamOffense_Triples,VisitingTeamOffense_Homeruns,VisitingTeamOffense_RBIs,VisitingTeamOffense_SacrificeHits,VisitingTeamOffense_SacrificeFlies,VisitingTeamOffense_HitbyPitch,VisitingTeamOffense_Walks,VisitingTeamOffense_IntentionalWalks,VisitingTeamOffense_Strickouts,VisitingTeamOffense_StolenBases,VisitingTeamOffense_CaughtStealing,VisitingTeamOffense_GroundedintoDoublePlay,VisitingTeamOffense_AwardedFirstonCatcherInterference,VisitingTeamOffense_LeftOnBase,VisitingTeamPitchers_PitchersUsed,VisitingTeamPitchers_IndividualEarnedRuns,VisitingTeamPitchers_TeamEarnedRuns,VisitingTeamPitchers_WildPitches,VisitingTeamPitchers_Balks,VisitingTeamDefense_PutOuts,VisitingTeamDefense_Assists,VisitingTeamDefense_Errors,VisitingTeamDefense_PassedBalls,VisitingTeamDefense_DoublePlays,VisitingTeamDefense_TriplePlays,HomeTeamOffense_AtBats,HomeTeamOffense_Hits,HomeTeamOffense_Doubles,HomeTeamOffense_Triples,HomeTeamOffense_Homeruns,HomeTeamOffense_RBIs,HomeTeamOffense_SacrificeHits,HomeTeamOffense_SacrificeFlies,HomeTeamOffense_HitbyPitch,HomeTeamOffense_Walks,HomeTeamOffense_IntentionalWalks,HomeTeamOffense_Strickouts,HomeTeamOffense_StolenBases,HomeTeamOffense_CaughtStealing,HomeTeamOffense_GroundedintoDoublePlay,HomeTeamOffense_AwardedFirstonCatcherInterference,HomeTeamOffense_LeftOnBase,HomeTeamPitchers_PitchersUsed,HomeTeamPitchers_IndividualEarnedRuns,HomeTeamPitchers_TeamEarnedRuns,HomeTeamPitchers_WildPitches,HomeTeamPitchers_Balks,HomeTeamDefense_PutOuts,HomeTeamDefense_Assists,HomeTeamDefense_Errors,HomeTeamDefense_PassedBalls,HomeTeamDefense_DoublePlays,HomeTeamDefense_TriplePlays,HomePlateUmp_ID,HomePlateUmp_Name,1BUmp_ID,1BUmp_Name,2BUmp_ID,2BUmp_Name,3BUmp_ID,3BUmp_Name,LFUmp_ID,LFUmp_Name,RFUmp_ID,RFUmp_Name,VisitingTeamManager_ID,VisitingTeamManager_Name,HomeTeamManager_ID,HomeTeamManager_Name,WinningPitcher_ID,WinningPitcher_Name,LosingPitcher_ID,LosingPitcher_Name,SavingPitcher_ID,SavingPitcher_Name,GameWinningRBIBatter_ID,GameWinningRBIBatter_Name,VisitingTeam_StartingPitcher_ID,VisitingTeam_StartingPitcher_Name,HomeTeam_StartingPitcher_ID,HomeTeam_StartingPitcher_Name,VisitingTeam_Player1_ID,VisitingTeam_Player1_Name,VisitingTeam_Player1_Position,VisitingTeam_Player2_ID,VisitingTeam_Player2_Name,VisitingTeam_Player2_Position,VisitingTeam_Player3_ID,VisitingTeam_Player3_Name,VisitingTeam_Player3_Position,VisitingTeam_Player4_ID,VisitingTeam_Player4_Name,VisitingTeam_Player4_Position,VisitingTeam_Player5_ID,VisitingTeam_Player5_Name,VisitingTeam_Player5_Position,VisitingTeam_Player6_ID,VisitingTeam_Player6_Name,VisitingTeam_Player6_Position,VisitingTeam_Player7_ID,VisitingTeam_Player7_Name,VisitingTeam_Player7_Position,VisitingTeam_Player8_ID,VisitingTeam_Player8_Name,VisitingTeam_Player8_Position,VisitingTeam_Player9_ID,VisitingTeam_Player9_Name,VisitingTeam_Player9_Position,HomeTeam_Player1_ID,HomeTeam_Player1_Name,HomeTeam_Player1_Position,HomeTeam_Player2_ID,HomeTeam_Player2_Name,HomeTeam_Player2_Position,HomeTeam_Player3_ID,HomeTeam_Player3_Name,HomeTeam_Player3_Position,HomeTeam_Player4_ID,HomeTeam_Player4_Name,HomeTeam_Player4_Position,HomeTeam_Player5_ID,HomeTeam_Player5_Name,HomeTeam_Player5_Position,HomeTeam_Player6_ID,HomeTeam_Player6_Name,HomeTeam_Player6_Position,HomeTeam_Player7_ID,HomeTeam_Player7_Name,HomeTeam_Player7_Position,HomeTeam_Player8_ID,HomeTeam_Player8_Name,HomeTeam_Player8_Position,HomeTeam_Player9_ID,HomeTeam_Player9_Name,HomeTeam_Player9_Position,Additional_Information,Acquisition_Information,DOW,Rank,VisitingLeague,DN,NFLVKGDAY
52303,0,,0,20220506,0,Fri,OAK,AL,26,MIN,AL,27,1,2,51,N,,,0,MIN04,17509,164,1000,01001000x,29,4,0,0,0,1,0,1,0,2,0,11,1,1,0,0,4,5,2,2,0,0,24,4,0,0,0,0,32,8,2,0,2,2,0,0,0,4,0,8,0,0,0,0,10,4,0,0,0,0,27,8,1,0,0,0,cejan901,Nestor Ceja,drecb901,Bruce Dreckman,hobep901,Pat Hoberg,emmep901,Paul Emmel,,(none),,(none),kotsm001,Mark Kotsay,baldr001,Rocco Baldelli,windj002,Josh Winder,loguz001,Zach Logue,pagae001,Emilio Pagan,miraj002,Jose Miranda,loguz001,Zach Logue,windj002,Josh Winder,neuss001,Sheldon Neuse,3,lowrj001,Jed Lowrie,10,murps001,Sean Murphy,2,piscs001,Stephen Piscotty,9,pindc001,Chad Pinder,7,smitk003,Kevin Smith,5,andre001,Elvis Andrus,6,pachc001,Cristian Pache,8,kempt001,Tony Kemp,4,buxtb001,Byron Buxton,10,polaj001,Jorge Polanco,4,sancg002,Gary Sanchez,2,urshg001,Giovanny Urshela,5,keplm001,Max Kepler,9,miraj002,Jose Miranda,3,lewir003,Royce Lewis,6,larnt001,Trevor Larnach,7,celeg001,Gilberto Celestino,8,,Y,5,27,0,1,0
52318,0,,1,20220507,0,Sat,OAK,AL,27,MIN,AL,28,0,1,51,D,,24239.85417,1,MIN04,22272,175,0,00000100x,29,3,1,0,0,0,0,0,1,3,0,15,1,0,1,0,6,5,1,1,1,0,24,4,1,0,2,0,28,5,2,0,1,1,0,0,1,2,0,9,0,0,1,0,6,4,0,0,0,0,27,5,0,0,1,0,drecb901,Bruce Dreckman,hobep901,Pat Hoberg,emmep901,Paul Emmel,cejan901,Nestor Ceja,,(none),,(none),kotsm001,Mark Kotsay,baldr001,Rocco Baldelli,jax-g001,Griffin Jax,kaprj001,James Kaprielian,duraj002,Jhoan Duran,polaj001,Jorge Polanco,kaprj001,James Kaprielian,grays001,Sonny Gray,kempt001,Tony Kemp,4,neuss001,Sheldon Neuse,3,pindc001,Chad Pinder,10,brows003,Seth Brown,7,smitk003,Kevin Smith,5,bethc001,Christian Bethancourt,2,mckib001,Billy McKinney,9,andre001,Elvis Andrus,6,pachc001,Cristian Pache,8,buxtb001,Byron Buxton,8,keplm001,Max Kepler,9,polaj001,Jorge Polanco,4,sancg002,Gary Sanchez,10,gordn001,Nick Gordon,7,miraj002,Jose Miranda,5,kiria001,Alex Kirilloff,3,jeffr002,Ryan Jeffers,2,lewir003,Royce Lewis,6,,Y,6,27,0,0,0
52334,0,,0,20220508,0,Sun,OAK,AL,28,MIN,AL,29,3,4,51,D,,21870.0625,0,MIN04,14295,199,102000000,01300000x,34,8,1,0,0,3,0,0,0,2,0,10,1,0,1,0,6,5,4,4,0,0,24,8,1,0,2,0,31,9,3,0,0,4,0,1,0,1,0,5,1,0,2,0,5,6,3,3,1,0,27,7,0,0,1,0,hobep901,Pat Hoberg,emmep901,Paul Emmel,cejan901,Nestor Ceja,drecb901,Bruce Dreckman,,(none),,(none),kotsm001,Mark Kotsay,baldr001,Rocco Baldelli,stasc001,Cody Stashak,jeffd001,Daulton Jefferies,pagae001,Emilio Pagan,polaj001,Jorge Polanco,jeffd001,Daulton Jefferies,paddc001,Chris Paddack,laurr001,Ramon Laureano,9,neuss001,Sheldon Neuse,4,murps001,Sean Murphy,2,brows003,Seth Brown,3,pindc001,Chad Pinder,10,smitk003,Kevin Smith,5,mckib001,Billy McKinney,7,andre001,Elvis Andrus,6,pachc001,Cristian Pache,8,keplm001,Max Kepler,9,miraj002,Jose Miranda,10,polaj001,Jorge Polanco,4,sancg002,Gary Sanchez,2,gordn001,Nick Gordon,7,urshg001,Giovanny Urshela,5,lewir003,Royce Lewis,6,kiria001,Alex Kirilloff,3,celeg001,Gilberto Celestino,8,,Y,7,27,0,0,0
52361,0,,0,20220510,0,Tue,HOU,AL,30,MIN,AL,30,5,0,54,N,,,0,MIN04,16156,190,10121000,0,33,7,1,0,0,5,0,2,1,9,0,7,2,0,0,0,13,2,0,0,0,0,27,11,0,0,2,0,27,3,0,0,0,0,0,0,0,2,0,5,0,0,2,0,2,4,4,4,0,0,27,6,1,0,0,0,welkb901,Bill Welke,segac901,Chris Segal,merzd901,Dan Merzel,fleta901,Andy Fletcher,,(none),,(none),baked002,Dusty Baker,baldr001,Rocco Baldelli,verlj001,Justin Verlander,ryanj002,Joe Ryan,,(none),penaj004,Jeremy Pena,verlj001,Justin Verlander,ryanj002,Joe Ryan,altuj001,Jose Altuve,4,branm003,Michael Brantley,7,brega001,Alex Bregman,5,alvay001,Yordan Alvarez,10,gurry001,Yulieski Gurriel,3,tuckk001,Kyle Tucker,9,mccoc001,Chas McCormick,8,penaj004,Jeremy Pena,6,maldm001,Martin Maldonado,2,keplm001,Max Kepler,9,miraj002,Jose Miranda,3,sancg002,Gary Sanchez,10,polaj001,Jorge Polanco,4,urshg001,Giovanny Urshela,5,lewir003,Royce Lewis,6,kiria001,Alex Kirilloff,7,jeffr002,Ryan Jeffers,2,celeg001,Gilberto Celestino,8,,Y,2,13,0,1,0
52385,0,,1,20220512,0,Thu,HOU,AL,32,MIN,AL,32,5,0,54,D,,,1,MIN04,16918,200,12100001,0,35,9,3,0,2,4,0,0,0,6,0,9,2,0,1,0,9,4,0,0,0,0,27,4,0,0,0,0,34,7,2,0,0,0,0,0,0,2,0,13,0,0,0,0,9,4,4,4,0,0,27,5,1,0,1,0,merzd901,Dan Merzel,fleta901,Andy Fletcher,welkb901,Bill Welke,tosia901,Alex Tosi,,(none),,(none),baked002,Dusty Baker,baldr001,Rocco Baldelli,garcl007,Luis Garcia,windj002,Josh Winder,,(none),mccoc001,Chas McCormick,garcl007,Luis Garcia,windj002,Josh Winder,altuj001,Jose Altuve,4,penaj004,Jeremy Pena,6,brega001,Alex Bregman,5,alvay001,Yordan Alvarez,10,tuckk001,Kyle Tucker,9,mccoc001,Chas McCormick,7,goodn002,Niko Goodrum,3,castj006,Jason Castro,2,sirij001,Jose Siri,8,buxtb001,Byron Buxton,10,arral001,Luis Arraez,3,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,miraj002,Jose Miranda,5,kiria001,Alex Kirilloff,7,jeffr002,Ryan Jeffers,2,gordn001,Nick Gordon,8,lewir003,Royce Lewis,6,,Y,4,13,0,0,0
52398,0,,1,20220513,0,Fri,CLE,AL,31,MIN,AL,33,8,12,51,N,,,1,MIN04,18711,206,1012202,20009001x,37,9,0,1,3,8,0,0,0,7,0,12,1,0,1,0,9,5,12,12,0,0,24,9,0,0,2,0,34,13,3,0,4,11,0,1,1,5,0,8,0,0,2,0,5,5,6,6,0,0,27,10,2,1,1,0,tumpj901,John Tumpane,blakr901,Ryan Blakney,hudsm901,Marvin Hudson,bacce901,Erich Bacchus,,(none),,(none),frant001,Terry Francona,baldr001,Rocco Baldelli,jax-g001,Griffin Jax,civaa001,Aaron Civale,,(none),,(none),civaa001,Aaron Civale,grays001,Sonny Gray,stram002,Myles Straw,8,kwans001,Steven Kwan,7,ramij003,Jose Ramirez,5,millo002,Owen Miller,3,rosaa003,Amed Rosario,6,reyef001,Franmil Reyes,10,gimea001,Andres Gimenez,4,merco003,Oscar Mercado,9,hedga001,Austin Hedges,2,buxtb001,Byron Buxton,8,arral001,Luis Arraez,3,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,sancg002,Gary Sanchez,10,urshg001,Giovanny Urshela,5,gordn001,Nick Gordon,7,jeffr002,Ryan Jeffers,2,lewir003,Royce Lewis,6,,Y,5,24,0,1,0
52413,0,,0,20220514,0,Sat,CLE,AL,32,MIN,AL,34,3,2,60,N,,,0,MIN04,22939,211,100000002,1000001,35,7,2,0,0,3,0,0,0,2,0,5,1,0,1,0,5,4,1,1,0,0,30,11,0,0,1,0,39,10,2,0,1,2,0,0,1,3,0,9,1,0,1,0,12,7,2,2,1,0,30,13,0,0,1,0,blakr901,Ryan Blakney,bacce901,Erich Bacchus,,(none),tumpj901,John Tumpane,,(none),,(none),frant001,Terry Francona,baldr001,Rocco Baldelli,sandn001,Nick Sandlin,cottj001,Jharel Cotton,clase001,Emmanuel Clase,gimea001,Andres Gimenez,biebs001,Shane Bieber,smeld001,Devin Smeltzer,stram002,Myles Straw,8,kwans001,Steven Kwan,7,ramij003,Jose Ramirez,5,millo002,Owen Miller,3,rosaa003,Amed Rosario,6,reyef001,Franmil Reyes,10,gimea001,Andres Gimenez,4,merco003,Oscar Mercado,9,hedga001,Austin Hedges,2,arral001,Luis Arraez,10,polaj001,Jorge Polanco,4,sancg002,Gary Sanchez,2,keplm001,Max Kepler,9,urshg001,Giovanny Urshela,5,miraj002,Jose Miranda,3,gordn001,Nick Gordon,7,celeg001,Gilberto Celestino,8,lewir003,Royce Lewis,6,,Y,6,24,0,1,0
52429,0,,1,20220515,0,Sun,CLE,AL,33,MIN,AL,35,1,3,51,D,,,1,MIN04,19850,158,100000,10011000x,33,6,3,0,1,1,0,0,0,0,0,9,1,0,0,0,5,2,3,3,0,0,24,4,0,0,0,0,28,4,0,0,2,3,0,0,0,2,0,4,1,0,0,0,3,5,1,1,0,0,27,7,0,0,0,0,bacce901,Erich Bacchus,tumpj901,John Tumpane,blakr901,Ryan Blakney,millb903,Brennan Miller,,(none),,(none),frant001,Terry Francona,baldr001,Rocco Baldelli,ryanj002,Joe Ryan,mcket001,Triston McKenzie,pagae001,Emilio Pagan,urshg001,Giovanny Urshela,mcket001,Triston McKenzie,ryanj002,Joe Ryan,stram002,Myles Straw,8,kwans001,Steven Kwan,9,ramij003,Jose Ramirez,5,millo002,Owen Miller,3,rosaa003,Amed Rosario,6,reyef001,Franmil Reyes,10,gimea001,Andres Gimenez,4,palar002,Richie Palacios,7,maill001,Luke Maile,2,buxtb001,Byron Buxton,8,arral001,Luis Arraez,3,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,sancg002,Gary Sanchez,10,urshg001,Giovanny Urshela,5,gordn001,Nick Gordon,7,jeffr002,Ryan Jeffers,2,lewir003,Royce Lewis,6,,Y,7,24,0,0,0
52538,0,,1,20220523,0,Mon,DET,AL,41,MIN,AL,42,4,5,52,N,,,1,MIN04,16361,175,10011100,400000001,37,10,3,0,1,4,0,0,1,2,0,10,0,0,0,0,9,5,5,5,1,0,25,9,0,0,1,0,31,7,0,0,1,5,0,0,0,4,0,8,0,0,1,0,5,5,4,4,0,0,27,6,0,0,0,0,gonzm901,Manny Gonzalez,buckc901,CB Bucknor,ramoc901,Charlie Ramos,nelsj901,Jeff Nelson,,(none),,(none),hinca001,A.J. Hinch,baldr001,Rocco Baldelli,pagae001,Emilio Pagan,chafa001,Andrew Chafin,,(none),urshg001,Giovanny Urshela,rodre005,Elvin Rodriguez,archc001,Chris Archer,grosr001,Robbie Grossman,9,schoj001,Jonathan Schoop,4,cabrm001,Miguel Cabrera,10,baezj001,Javier Baez,6,casth001,Harold Castro,5,castw003,Willi Castro,7,torks001,Spencer Torkelson,3,haase001,Eric Haase,2,camed001,Daz Cameron,8,buxtb001,Byron Buxton,8,arral001,Luis Arraez,3,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,gordn001,Nick Gordon,7,larnt001,Trevor Larnach,10,urshg001,Giovanny Urshela,5,jeffr002,Ryan Jeffers,2,,Y,1,18,0,1,0
52552,0,,1,20220524,0,Tue,DET,AL,42,MIN,AL,43,0,2,51,N,,,1,MIN04,17882,173,0,01100000x,31,5,1,0,0,0,0,0,1,1,0,12,0,0,1,0,6,5,2,2,0,0,24,8,0,0,2,0,30,8,2,0,0,2,0,0,0,4,0,8,0,0,1,0,8,3,0,0,0,0,27,6,0,1,1,0,buckc901,CB Bucknor,ramoc901,Charlie Ramos,nelsj901,Jeff Nelson,gonzm901,Manny Gonzalez,,(none),,(none),hinca001,A.J. Hinch,baldr001,Rocco Baldelli,grays001,Sonny Gray,brieb001,Beau Brieske,duraj002,Jhoan Duran,urshg001,Giovanny Urshela,brieb001,Beau Brieske,grays001,Sonny Gray,grosr001,Robbie Grossman,9,schoj001,Jonathan Schoop,4,cabrm001,Miguel Cabrera,10,baezj001,Javier Baez,6,candj002,Jeimer Candelario,5,castw003,Willi Castro,7,torks001,Spencer Torkelson,3,barnt001,Tucker Barnhart,2,hilld002,Derek Hill,8,buxtb001,Byron Buxton,8,arral001,Luis Arraez,4,corrc001,Carlos Correa,6,sancg002,Gary Sanchez,10,keplm001,Max Kepler,9,celeg001,Gilberto Celestino,7,urshg001,Giovanny Urshela,5,miraj002,Jose Miranda,3,jeffr002,Ryan Jeffers,2,,Y,2,18,0,1,0
52565,0,,1,20220525,0,Wed,DET,AL,43,MIN,AL,44,4,2,60,D,,,1,MIN04,20375,225,10102,2000000,37,8,0,0,3,4,0,0,0,6,0,9,1,0,1,0,10,7,2,2,1,0,30,7,1,0,0,0,38,7,1,0,1,2,0,0,1,2,0,13,0,0,0,0,10,6,3,3,1,0,30,8,1,0,1,0,ramoc901,Charlie Ramos,nelsj901,Jeff Nelson,gonzm901,Manny Gonzalez,buckc901,CB Bucknor,,(none),,(none),hinca001,A.J. Hinch,baldr001,Rocco Baldelli,langa001,Alex Lange,megit001,Trevor Megill,chafa001,Andrew Chafin,candj002,Jeimer Candelario,garcr007,Rony Garcia,bundd001,Dylan Bundy,camed001,Daz Cameron,9,casth001,Harold Castro,6,schoj001,Jonathan Schoop,4,baezj001,Javier Baez,10,candj002,Jeimer Candelario,5,torks001,Spencer Torkelson,3,castw003,Willi Castro,7,haase001,Eric Haase,2,hilld002,Derek Hill,8,buxtb001,Byron Buxton,10,arral001,Luis Arraez,3,corrc001,Carlos Correa,6,keplm001,Max Kepler,9,sancg002,Gary Sanchez,2,larnt001,Trevor Larnach,7,urshg001,Giovanny Urshela,5,gordn001,Nick Gordon,4,celeg001,Gilberto Celestino,8,,Y,3,18,0,0,0
52577,0,,1,20220526,0,Thu,KCA,AL,43,MIN,AL,45,3,2,54,N,,,1,MIN04,17657,185,30,10100000,32,6,2,0,0,3,0,0,0,3,0,7,0,0,1,0,5,5,2,2,0,0,27,9,1,0,0,0,39,12,1,0,0,2,0,0,0,2,0,10,0,0,0,0,12,3,3,3,0,0,27,9,0,0,1,0,carlm901,Mark Carlson,bakej902,Jordan Baker,becka901,Adam Beck,addir901,Ryan Additon,,(none),,(none),mathm001,Mike Matheny,baldr001,Rocco Baldelli,stauj001,Josh Staumont,dufft001,Tyler Duffey,barls001,Scott Barlow,wittb002,Bobby Witt,lyncd001,Daniel Lynch,smeld001,Devin Smeltzer,merrw001,Whit Merrifield,9,benia002,Andrew Benintendi,7,wittb002,Bobby Witt,6,dozih001,Hunter Dozier,10,melem001,MJ Melendez,2,santc002,Carlos Santana,3,rivee001,Emmanuel Rivera,5,lopen001,Nicky Lopez,4,hickb003,Brewer Hicklen,8,buxtb001,Byron Buxton,8,corrc001,Carlos Correa,6,garlk001,Kyle Garlick,7,sancg002,Gary Sanchez,2,urshg001,Giovanny Urshela,5,arral001,Luis Arraez,4,miraj002,Jose Miranda,3,jeffr002,Ryan Jeffers,10,celeg001,Gilberto Celestino,9,,Y,4,28,0,1,0
52588,1,": Star Wars t-shirt for the first 10,000 fans",0,20220527,0,Fri,KCA,AL,44,MIN,AL,46,7,10,51,N,,,0,MIN04,21841,220,3100102,40020004x,37,13,1,1,2,7,0,0,0,8,0,10,2,0,3,0,11,6,10,10,1,0,24,11,1,0,0,0,38,15,1,1,2,10,1,1,0,7,1,4,0,0,0,0,13,8,7,7,1,0,27,8,1,0,3,0,bakej902,Jordan Baker,becka901,Adam Beck,addir901,Ryan Additon,welkb901,Bill Welke,,(none),,(none),mathm001,Mike Matheny,baldr001,Rocco Baldelli,megit001,Trevor Megill,kellb003,Brad Keller,pagae001,Emilio Pagan,corrc001,Carlos Correa,kellb003,Brad Keller,oberb002,Bailey Ober,merrw001,Whit Merrifield,8,benia002,Andrew Benintendi,7,wittb002,Bobby Witt,6,dozih001,Hunter Dozier,9,melem001,MJ Melendez,2,santc002,Carlos Santana,3,ohear001,Ryan O'Hearn,10,rivee001,Emmanuel Rivera,5,lopen001,Nicky Lopez,4,arral001,Luis Arraez,3,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,sancg002,Gary Sanchez,10,larnt001,Trevor Larnach,7,urshg001,Giovanny Urshela,5,gordn001,Nick Gordon,8,jeffr002,Ryan Jeffers,2,,Y,5,28,0,1,0
52605,0,,1,20220528,0,Sat,KCA,AL,45,MIN,AL,47,7,3,54,D,,,1,MIN04,22249,192,101300200,10002000,39,11,5,0,0,7,0,0,1,2,0,7,1,0,0,0,8,4,3,3,0,0,27,6,0,0,0,0,38,11,1,0,1,3,0,0,0,3,0,10,0,0,0,0,11,4,5,5,1,0,27,12,1,0,0,0,becka901,Adam Beck,addir901,Ryan Additon,welkb901,Bill Welke,bakej902,Jordan Baker,,(none),,(none),mathm001,Mike Matheny,baldr001,Rocco Baldelli,singb001,Brady Singer,archc001,Chris Archer,,(none),wittb002,Bobby Witt,singb001,Brady Singer,archc001,Chris Archer,merrw001,Whit Merrifield,8,benia002,Andrew Benintendi,7,wittb002,Bobby Witt,6,peres002,Salvador Perez,10,melem001,MJ Melendez,2,dozih001,Hunter Dozier,9,santc002,Carlos Santana,3,rivee001,Emmanuel Rivera,5,lopen001,Nicky Lopez,4,buxtb001,Byron Buxton,8,arral001,Luis Arraez,3,corrc001,Carlos Correa,6,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,larnt001,Trevor Larnach,10,sancg002,Gary Sanchez,2,urshg001,Giovanny Urshela,5,gordn001,Nick Gordon,7,,Y,6,28,0,0,0
52620,0,,1,20220529,0,Sun,KCA,AL,46,MIN,AL,48,3,7,51,D,,,1,MIN04,27195,185,210,00320110x,34,7,2,0,0,3,0,0,0,1,0,8,0,0,0,0,5,4,7,7,1,0,24,11,0,0,0,0,34,11,3,0,3,7,0,0,1,3,0,5,0,0,0,0,7,4,3,3,1,1,27,10,0,0,0,0,addir901,Ryan Additon,welkb901,Bill Welke,bakej902,Jordan Baker,becka901,Adam Beck,,(none),,(none),mathm001,Mike Matheny,baldr001,Rocco Baldelli,grays001,Sonny Gray,greiz001,Zack Greinke,,(none),urshg001,Giovanny Urshela,greiz001,Zack Greinke,grays001,Sonny Gray,merrw001,Whit Merrifield,8,benia002,Andrew Benintendi,7,wittb002,Bobby Witt,6,peres002,Salvador Perez,2,melem001,MJ Melendez,9,dozih001,Hunter Dozier,3,santc002,Carlos Santana,10,rivee001,Emmanuel Rivera,5,lopen001,Nicky Lopez,4,buxtb001,Byron Buxton,10,corrc001,Carlos Correa,6,arral001,Luis Arraez,3,polaj001,Jorge Polanco,4,urshg001,Giovanny Urshela,5,garlk001,Kyle Garlick,9,lewir003,Royce Lewis,8,larnt001,Trevor Larnach,7,jeffr002,Ryan Jeffers,2,,Y,7,28,0,0,0
52744,0,,1,20220607,0,Tue,NYA,AL,55,MIN,AL,57,10,4,54,N,,,1,MIN04,27643,230,300110320,101110000,41,14,0,0,3,10,0,0,0,9,1,10,0,0,0,0,13,4,4,4,0,0,27,11,3,0,1,0,36,12,2,0,1,4,0,2,1,1,0,7,0,0,1,0,9,5,10,10,2,0,27,6,0,0,0,0,tosia901,Alex Tosi,ticht901,Todd Tichenor,libkj901,John Libka,reynj901,Jim Reynolds,,(none),,(none),boona001,Aaron Boone,baldr001,Rocco Baldelli,luetl001,Lucas Luetge,sandc001,Cole Sands,,(none),judga001,Aaron Judge,tailj001,Jameson Taillon,sandc001,Cole Sands,lemad001,DJ LeMahieu,4,judga001,Aaron Judge,8,rizza001,Anthony Rizzo,3,stanm004,Giancarlo Stanton,10,donaj001,Josh Donaldson,5,hicka001,Aaron Hicks,7,kinei001,Isiah Kiner-Falefa,6,trevj001,Jose Trevino,2,gallj002,Joey Gallo,9,arral001,Luis Arraez,3,buxtb001,Byron Buxton,10,polaj001,Jorge Polanco,4,keplm001,Max Kepler,9,sancg002,Gary Sanchez,2,larnt001,Trevor Larnach,7,urshg001,Giovanny Urshela,5,celeg001,Gilberto Celestino,8,palaj002,Jermaine Palacios,6,,Y,2,1,0,1,0
52758,0,,1,20220608,0,Wed,NYA,AL,56,MIN,AL,58,1,8,51,N,,,1,MIN04,22286,180,10000,00022220x,28,5,1,0,0,1,0,1,0,4,0,7,0,0,4,0,5,3,8,8,0,0,24,10,0,0,0,0,34,11,3,0,2,8,0,0,0,3,0,7,0,0,0,0,5,4,1,1,0,0,27,12,1,0,4,0,ticht901,Todd Tichenor,libkj901,John Libka,reynj901,Jim Reynolds,tosia901,Alex Tosi,,(none),,(none),boona001,Aaron Boone,baldr001,Rocco Baldelli,archc001,Chris Archer,cortn001,Nestor Cortes,,(none),urshg001,Giovanny Urshela,cortn001,Nestor Cortes,archc001,Chris Archer,lemad001,DJ LeMahieu,5,judga001,Aaron Judge,8,rizza001,Anthony Rizzo,3,stanm004,Giancarlo Stanton,9,donaj001,Josh Donaldson,10,torrg001,Gleyber Torres,4,hicka001,Aaron Hicks,7,kinei001,Isiah Kiner-Falefa,6,higak001,Kyle Higashioka,2,buxtb001,Byron Buxton,8,corrc001,Carlos Correa,10,polaj001,Jorge Polanco,4,urshg001,Giovanny Urshela,5,miraj002,Jose Miranda,3,keplm001,Max Kepler,9,celeg001,Gilberto Celestino,7,jeffr002,Ryan Jeffers,2,gordn001,Nick Gordon,6,,Y,3,1,0,1,0
